15min_bin,glucose
0,6.0
15,6.050000000000001
30,6.15
45,6.1
60,5.9
75,5.7
90,5.7
105,5.6
120,5.9
135,5.9
150,5.9
165,5.199999999999999
180,5.7
195,6.0
210,6.1
225,6.0
240,5.9
255,6.3
270,6.2
285,6.2
300,6.2
315,6.0
330,
345,6.0
360,5.8
375,5.8
390,5.8
405,5.6
420,5.6
435,6.1
450,6.3
465,5.9
480,5.3
495,5.4
510,5.7
525,5.6
540,5.6
555,6.0
570,6.3
585,5.9
600,5.6
615,6.033333333333334
630,6.4
645,6.9
660,7.1
675,6.7
690,5.9
705,5.4
720,5.4
735,5.3
750,4.9
765,5.5
780,
795,
810,
825,
840,
855,
870,
885,
900,
915,
930,
945,
960,
975,
990,
1005,
1020,5.6
1035,5.8
1050,6.1
1065,5.9
1080,5.8
1095,5.7
1110,5.2
1125,4.2
1140,4.1
1155,4.4
1170,4.2
1185,4.1
1200,4.2
1215,3.8
1230,4.3
1245,5.6
1260,5.8
1275,5.8
1290,6.1
1305,6.2
1320,6.3
1335,6.3
1350,6.2
1365,6.0
1380,5.9
1395,6.1
1410,5.7
1425,5.6
